artist,genres
Adventure Club,"brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance"
Macklemore & Ryan Lewis,No genres found
ODESZA,"chillwave, edm, indietronica"
Martin O'Donnell,"scorecore, video game music"
Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie"
No Mana,"complextro, electro house"
Wu-Tang Clan,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
Big Wild,vapor soul
GZA,"east coast hip hop, hardcore hip hop"
Madeon,"complextro, edm, electro house, electropop, filter house, nantes indie, pop dance"
Faith No More,"alternative metal, alternative rock, funk metal, funk rock, hard rock, nu metal, post-grunge, rap metal, rock"
Bas,No genres found
Flatbush Zombies,"psychedelic hip hop, underground hip hop"
Mord Fustang,"complextro, electro house"
Seven Lions,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance"
Chase & Status,"dancefloor dnb, drum and bass, uk dance"
Mac Miller,"hip hop, pittsburgh rap, rap"
Audien,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house"
Galantis,"dance pop, edm, pop, pop dance, progressive electro house"
San Holo,"brostep, edm, electro house, electronic trap, future bass, pop dance"
Tay-K,"cali rap, dfw rap, rap, trap"
Tom Salta,"epicore, video game music"
Yung Gravy,"meme rap, minnesota hip hop"
LIONE,"melodic dubstep, pop edm"
Ekali,"brostep, canadian electronic, edm, electro house, electronic trap, future bass, vapor twitch"
Conro,"canadian electronic, future bass, pop edm"
Jay Rock,"conscious hip hop, hip hop, rap, southern hip hop, trap"
Grant,future bass
Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap"
Dabin,"canadian electronic, melodic dubstep, pop edm"
Nipsey Hussle,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Dillon Francis,"brostep, edm, electro house, moombahton, pop dance, progressive electro house, slap house"
Haywyre,"canadian electronic, complextro, future bass, vapor twitch"
WRLD,"complextro, future bass, gaming edm"
Wale,No genres found
Passion Pit,"indie rock, indietronica, modern rock, neo-synthpop, shimmer pop"
Kinneret,"sped up, weirdcore"
Avicii,"dance pop, edm, pop, pop dance"
Ari Lennox,alternative r&b
Airbourne,hard rock
NERO,"complextro, edm, electro house, melodic dubstep"
Billie Eilish,"art pop, pop"
Flux Pavilion,"brostep, classic dubstep, complextro, edm, electro house"
Kasbo,"future bass, pop edm, swedish electropop, vapor twitch"
Zeds Dead,"brostep, canadian electronic, dubstep, edm, electro house, progressive electro house"
Pierce Fulton,"complextro, pop edm, progressive electro house"
Kazuma Jinnouchi,video game music
Whitney,"chamber pop, chicago indie, countrygaze, indie pop, indie rock"
Bone Thugs-N-Harmony,"gangster rap, hip hop, ohio hip hop, rap"
VIC MENSA,"canadian hip hop, chicago rap, conscious hip hop, underground hip hop"
Nathaniel Rateliff,"indie folk, modern blues rock, new americana, stomp and holler"
dandelion hands,"corecore, lo-fi emo, lo-fi indie, pov: indie"
JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
NF,quebec indie
Aries,No genres found
Drake,No genres found
Juice WRLD,"chicago rap, melodic rap, rap"
Airospace,lo-fi rap
Wyclef Jean,rap kreyol
Tayk,No genres found
WATTS,"free folk, motivation"
Enoch Lenoir,No genres found
Whethan,"electropop, hyperpop, rage rap"
Soulja Boy,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
Psychedelic Porn Crumpets,"australian garage punk, australian psych, neo-psychedelic"
Petit Biscuit,new french touch
Mumford & Sons,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana"
Young Dubliners,celtic rock
Gaelic Storm,"celtic, celtic rock"
Sham Rock,No genres found
Edson Charntor,No genres found
DaBaby,No genres found
THE SCOTTS,No genres found
